video_id,question_id,video_name,video_trans,video_link,question
v_97_3,q_4_v_97_3,Electric Parking Brake Owner Guide _ Ford How-To _ Ford-Qrl3w8RBP6Q,"00:00:21.325 --> 00:00:25.154
To release it make sure your
foot is on the brake, and
00:00:25.154 --> 00:00:28.647
the ignition is on,
then push the switch down.",http://people.csail.mit.edu/rishabhy/split_videos/Electric Parking Brake Owner Guide _ Ford How-To _ Ford-Qrl3w8RBP6Q_seg3.mp4,Why is my parking break stuck on?
v_84_2,q_7_v_84_2,Cupholders for 40_20_40 Seat Configuration _ Ford How-To _ Ford-4QQouamp50E,"00:00:13.160 --> 00:00:14.870
With your front seats upright, look for
00:00:14.870 --> 00:00:18.560
the storage latch on the bottom
of the middle seat cushion, here.
00:00:18.560 --> 00:00:20.860
Pull the latch to release the seat and
pull it back.
00:00:21.950 --> 00:00:23.390
To access the cup holders,
00:00:23.390 --> 00:00:27.010
open the console lid, then lift
the cup holder tray out of the bin,
00:00:27.010 --> 00:00:32.330
spin it around, and latch it into place by
inserting the plastic tabs into the slots.
00:00:32.330 --> 00:00:35.180
Now push the seat cushion back into place.
00:00:35.180 --> 00:00:37.010
When you hear it latch,
you'll know it's secure.",http://people.csail.mit.edu/rishabhy/split_videos/Cupholders for 40_20_40 Seat Configuration _ Ford How-To _ Ford-4QQouamp50E_seg2.mp4,How do you know that the cup holders are secure?
v_47_1,q_10_v_47_1,Mustang Front-Seat Functionality _ Ford How-To _ Ford-LgqfbRlZOoc,"WEBVTT
Kind: captions
Language: en
00:00:00.000 --> 00:00:04.236
[MUSIC]
00:00:04.236 --> 00:00:07.441
Did you know your Mustang's front seats
can be adjusted in many ways to give
00:00:07.441 --> 00:00:09.250
you a more comfortable ride?
00:00:09.250 --> 00:00:10.850
Let me explain.
00:00:10.850 --> 00:00:13.300
The front seats in your car
can be adjusted manually or
00:00:13.300 --> 00:00:16.490
if equipped using the six-way power seat switch.",http://people.csail.mit.edu/rishabhy/split_videos/Mustang Front-Seat Functionality _ Ford How-To _ Ford-LgqfbRlZOoc_seg1.mp4,Where is the power switch for the front seat  located  in the Mustang?
v_82_3,q_4_v_82_3,SYNC 3 - All-New Enhanced Features _ SYNC 3 How-To _ Ford-6QwzEd4IKek,"00:00:45.740 --> 00:00:49.720
Also new to SYNC 3 is simplified
voice commands, that make controlling
00:00:49.720 --> 00:00:53.700
certain features quick and easy without
having to go through multiple steps.
00:00:53.700 --> 00:00:56.390
For instance,
if you're listening to the radio and
00:00:56.390 --> 00:01:00.070
want to change to listening to your
media device, use the voice button and
00:01:00.070 --> 00:01:03.320
say, play song I am alive, for example.
00:01:03.320 --> 00:01:04.590
It's that easy.",http://people.csail.mit.edu/rishabhy/split_videos/SYNC 3 - All-New Enhanced Features _ SYNC 3 How-To _ Ford-6QwzEd4IKek_seg3.mp4,How do you change from listening to the radio to listening to your mobile device?
v_10_5,q_5_v_10_5,Twin-Panel Moonroof _ Ford How-To _ Ford-VVTFXgQAMeE,"00:00:45.691 --> 00:00:48.915
To open the moonroof partway,
press the button lightly and
00:00:48.915 --> 00:00:51.115
release it wherever you want it to stop.
00:00:51.115 --> 00:00:55.894
If you just want to vent the roof with the
sunshade open, find the button marked with
00:00:55.894 --> 00:00:59.459
the car icon and an open roof,
then press it firmly and let go.",http://people.csail.mit.edu/rishabhy/split_videos/Twin-Panel Moonroof _ Ford How-To _ Ford-VVTFXgQAMeE_seg5.mp4,How can I close my moonroof?
v_32_1,q_19_v_32_1,Viewing a Vehicle Health Report Through Email _ Ford How-To _ Ford-1RkKJGLRCpI,"WEBVTT
Kind: captions
Language: en
00:00:00.000 --> 00:00:07.714
[MUSIC]
00:00:07.714 --> 00:00:10.584
You may be interested to know,
as part of an effort to provide our
00:00:10.584 --> 00:00:13.938
customers with more information about
what happens with their vehicles,
00:00:13.938 --> 00:00:17.030
we've improved the vehicle
health report feature.
00:00:17.030 --> 00:00:20.800
As a matter of fact, in addition to being
able to view a vehicle health report
00:00:20.800 --> 00:00:22.290
on the Ford Owner's Site,
00:00:22.290 --> 00:00:25.560
you can also have certain information
about your vehicle sent directly to your
00:00:25.560 --> 00:00:29.590
personal email address to help
resolve certain issues that may arise.
00:00:29.590 --> 00:00:30.900
Let me explain.",http://people.csail.mit.edu/rishabhy/split_videos/Viewing a Vehicle Health Report Through Email _ Ford How-To _ Ford-1RkKJGLRCpI_seg1.mp4,How does one get to learn more about what happens to his vehicle?
v_78_2,q_1_v_78_2,Child Tether LATCH System Help Guide _ Ford How-To _ Ford-4tUQ6xsTLKA,"00:00:18.471 --> 00:00:21.621
&gt;&gt; Your vehicle may have a LATCH system
that makes securing your child seat easy,
00:00:21.621 --> 00:00:23.969
and could help keep your child
safe in case of an accident.",http://people.csail.mit.edu/rishabhy/split_videos/Child Tether LATCH System Help Guide _ Ford How-To _ Ford-4tUQ6xsTLKA_seg2.mp4,How is the safety of children ensured?
v_7_1,q_7_v_7_1,Transit Refueling _ Ford How-To _ Ford-vM-EW2gDMn0,"WEBVTT
Kind: captions
Language: en
00:00:00.359 --> 00:00:03.800
[MUSIC]
00:00:03.800 --> 00:00:07.792
Your transit's fuel door is conveniently
located inside the driver's door for
00:00:07.792 --> 00:00:09.550
quick and easy fill ups.
00:00:09.550 --> 00:00:13.380
To open the fuel filler door,
the driver's door must be open.
00:00:13.380 --> 00:00:16.990
Once it is, place your finger under
the filler door tab and pull.
00:00:16.990 --> 00:00:19.770
You'll notice it has the Easy Fuel
capless fuel filler, so
00:00:19.770 --> 00:00:21.870
there's no cap to twist off.
00:00:21.870 --> 00:00:23.970
Just insert the fuel
pump nozzle all they way,
00:00:23.970 --> 00:00:28.040
making sure it passes through both
spring-loaded flaps, then fill up.
00:00:28.040 --> 00:00:31.550
Once it's stopped filling, wait about
ten seconds before removing the nozzle,
00:00:31.550 --> 00:00:34.020
to allow any residual to drain out.
00:00:34.020 --> 00:00:36.690
Remove the nozzle and close the fuel door.",http://people.csail.mit.edu/rishabhy/split_videos/Transit Refueling _ Ford How-To _ Ford-vM-EW2gDMn0_seg1.mp4,Where is the fuel door located?
v_52_1,q_16_v_52_1,Power Flow Status with Available SYNC 3 _ Ford How-To _ Ford-pl3BAUAi2jg,"WEBVTT
Kind: captions
Language: en
00:00:00.402 --> 00:00:05.166
[MUSIC]
00:00:05.166 --> 00:00:08.958
You may be interested to know that your
hybrid electric vehicle can show you where
00:00:08.958 --> 00:00:12.040
and how the power is being distributed
to help monitor its usage.
00:00:12.040 --> 00:00:13.650
Let me tell you about it.
00:00:13.650 --> 00:00:17.300
Your vehicle has a power flow status
screen that visually displays the power
00:00:17.300 --> 00:00:18.830
usage in real time.",http://people.csail.mit.edu/rishabhy/split_videos/Power Flow Status with Available SYNC 3 _ Ford How-To _ Ford-pl3BAUAi2jg_seg1.mp4,Does the vehicle power usage display in real time?
v_2_1,q_20_v_2_1,Trailer Tire Pressure Monitoring System (TPMS) _ Ford How-To _ Ford-lcsygGhXqk0,"WEBVTT
Kind: captions
Language: en
00:00:00.000 --> 00:00:04.259
[MUSIC]
00:00:04.259 --> 00:00:07.200
Did you know that you can equip
a trailer with a feature that allows
00:00:07.200 --> 00:00:09.876
your vehicle to monitor and
provide a warning if the tires of
00:00:09.876 --> 00:00:13.350
a trailer that you're towing
are significantly underinflated?
00:00:13.350 --> 00:00:14.850
Let me explain.
00:00:14.850 --> 00:00:18.140
If one or more tires of a connected
trailer become underinflated,
00:00:18.140 --> 00:00:22.120
the trailer tire pressure monitoring
system, or TPMS, will display
00:00:22.120 --> 00:00:25.670
a pop-up warning in your instrument
display indicating which tire is low.
00:00:26.790 --> 00:00:27.623
Any questions?
00:00:27.623 --> 00:00:29.513
Go to Owner.Ford.com.
00:00:29.513 --> 00:00:39.513
[MUSIC]",http://people.csail.mit.edu/rishabhy/split_videos/Trailer Tire Pressure Monitoring System (TPMS) _ Ford How-To _ Ford-lcsygGhXqk0_seg1.mp4,What does the Trailer Tire Pressure Monitoring System do?
